Stephen Kinnock	Labour Party	Aberavon	http://www.stephenkinnock.co.uk/	http://www.stephenkinnock.co.uk/press_releases_and_articles.rss	
Guto Bebb	Conservative and Unionist Party	Aberconwy	https://www.gutobebb.org.uk/	https://www.gutobebb.org.uk/news/feed	
Kirsty Blackman	Scottish National Party (SNP)	Aberdeen North			
Ross Thomson	Conservative and Unionist Party	Aberdeen South	http://rossthomson.net/	http://rossthomson.net/content/?feed=atom	
Neil Gray	Scottish National Party (SNP)	Airdrie and Shotts			
Leo Docherty	Conservative and Unionist Party	Aldershot			
Wendy Morton	Conservative and Unionist Party	Aldridge-Brownhills	http://wendymorton.co.uk/	http://wendymorton.co.uk/feed/	
Graham Brady	Conservative and Unionist Party	Altrincham and Sale West	http://www.grahambradymp.co.uk/		
Mark Tami	Labour Party	Alyn and Deeside	http://www.marktami.co.uk/	http://www.marktami.co.uk/feed/	
Nigel Mills	Conservative and Unionist Party	Amber Valley	http://www.nigelmillsmp.com/	http://www.nigelmillsmp.com/feed/atom/	
Kirstene Hair	Conservative and Unionist Party	Angus			
Hywel Williams	Plaid Cymru - The Party of Wales	Arfon	http://www.hywelwilliams.org/		
Brendan O'Hara	Scottish National Party (SNP)	Argyll and Bute	http://www.brendanoharamp.scot/	http://www.brendanoharamp.scot/feed/	
Nick Herbert	Conservative and Unionist Party	Arundel and South Downs	http://www.nickherbert.com/	http://feeds.feedburner.com/NickHerbertNewsAndBlog	
Gloria De Piero	Labour Party	Ashfield	http://www.gloria-de-piero.co.uk/	http://www.gloria-de-piero.co.uk/feed/	
Damian Green	Conservative and Unionist Party	Ashford	http://www.damiangreen.co.uk/	https://www.damiangreen.co.uk/news/feed	
Angela Rayner	Labour Party	Ashton-under-Lyne	http://www.angelarayner.com/	http://www.angelarayner.com/news_blog.rss	
David Lidington	Conservative and Unionist Party	Aylesbury	http://www.davidlidington.com		
Bill Grant	Conservative and Unionist Party	Ayr, Carrick and Cumnock			
Victoria Prentis	Conservative and Unionist Party	Banbury	http://victoriaprentis.com/	http://victoriaprentis.com/feed/	
David Duguid	Conservative and Unionist Party	Banff and Buchan			
Margaret Hodge	Labour Party	Barking	http://margaret-hodge.co.uk/	http://margaret-hodge.co.uk/feed/	
Dan Jarvis	Labour Party	Barnsley Central	http://www.danjarvis2015.com/		
Stephanie Peacock	Labour Party	Barnsley East	http://www.stephaniepeacock.co.uk/		
John Woodcock	Labour and Co-operative Party	Barrow and Furness	http://www.johnwoodcock.org/		
John Baron	Conservative and Unionist Party	Basildon and Billericay	http://www.johnbaron.co.uk/		
Maria Miller	Conservative and Unionist Party	Basingstoke			
John Mann	Labour Party	Bassetlaw	http://www.mann4bassetlaw.com/		
Wera Hobhouse	Liberal Democrats	Bath	https://www.bathlibdems.org.uk		
Tracy Brabin	Labour and Co-operative Party	Batley and Spen	https://tracy4batleyandspen.com/	https://tracybrabinmp.com/feed/	
Marsha de Cordova	Labour Party	Battersea			
Dominic Grieve	Conservative and Unionist Party	Beaconsfield	http://www.dominicgrieve.org.uk/		
Bob Stewart	Conservative and Unionist Party	Beckenham			
Mohammad Yasin	Labour Party	Bedford			
Gavin Robinson	Democratic Unionist Party - D.U.P.	Belfast East			
Nigel Dodds	Democratic Unionist Party - D.U.P.	Belfast North	http://www.nigeldodds.co.uk/		
Emma Little-Pengelly	Democratic Unionist Party - D.U.P.	Belfast South			
Paul Maskey	Sinn Féin	Belfast West			
Neil Coyle	Labour Party	Bermondsey and Old Southwark	http://www.neilcoyle.org.uk/		
Anne-Marie Trevelyan	Conservative and Unionist Party	Berwick-upon-Tweed	https://www.teamtrevelyan.co.uk/		
John Lamont	Conservative and Unionist Party	Berwickshire, Roxburgh and Selkirk	http://www.johnlamont.org/		
Rushanara Ali	Labour Party	Bethnal Green and Bow	http://www.rushanaraali.org/		
Graham Stuart	Conservative and Unionist Party	Beverley and Holderness	http://www.grahamstuart.com/		
Huw Merriman	Conservative and Unionist Party	Bexhill and Battle	http://www.huwmerriman.com/		
David Evennett	Conservative and Unionist Party	Bexleyheath and Crayford	http://bexleyheathandcrayford.com/		
Frank Field	Labour Party	Birkenhead	http://www.frankfield.com/		
